line,x-axis (g),y-axis (g),z-axis (g),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
106,-2.322,1.872,-0.946,-101.463,76.25,46.921
107,-2.448,1.724,-0.983,-149.329,45.122,78.018
108,-2.433,1.506,-1,-187.927,15.396,116.006
109,-2.389,1.372,-1.025,-211.22,-1.189,160.762
110,-2.48,1.237,-0.988,-227.591,3.14,204.817
111,-2.727,1.07,-0.976,-238.232,20.762,244.116
112,-3.061,0.879,-0.982,-246.585,38.628,274.39
113,-3.39,0.671,-1.119,-250.732,51.585,299.39
114,-3.79,0.513,-1.381,-253.049,65.579,323.262
115,-4.313,0.335,-1.66,-260.762,73.415,350.884
116,-4.845,0.053,-1.818,-270.64,57.805,387.409
117,-4.981,-0.344,-1.771,-281.341,21.921,432.866
118,-4.621,-0.818,-1.618,-288.171,-31.25,475.64
119,-3.919,-1.385,-1.382,-292.073,-75.335,501.463
120,-2.874,-1.906,-1.098,-288.598,-90.061,500.183
121,-1.656,-2.234,-1.196,-275.274,-75.488,466.555
122,-0.456,-2.292,-1.498,-247.195,-20.518,413.659
123,0.659,-2.334,-1.088,-201.28,90.244,345.549
124,1.105,-2.472,-0.42,-174.177,197.744,252.53
125,0.716,-2.755,0.134,-191.28,223.75,146.098
126,0.297,-3.023,0.539,-228.872,138.445,42.896
127,0.312,-3.178,0.669,-254.817,-21.372,-50.274
128,0.64,-3.163,0.679,-244.024,-170.671,-123.293
129,1.032,-2.904,0.673,-196.585,-238.933,-168.262
130,1.174,-2.513,0.682,-120.701,-212.53,-190.976
131,1.01,-2.093,0.723,-32.591,-114.97,-203.018
132,0.493,-1.68,0.673,52.652,-1.341,-208.72
133,-0.168,-1.281,0.478,125.793,78.72,-202.226
134,-0.756,-0.886,0.094,182.043,111.159,-189.451
135,-1.221,-0.463,-0.3,220.061,111.372,-175.579
136,-1.42,-0.025,-0.626,241.159,98.841,-165.915
137,-1.38,0.433,-0.945,251.433,83.841,-159.726
138,-1.33,0.928,-1.145,248.78,79.634,-150.274
139,-1.4,1.373,-1.208,222.561,92.226,-137.957
140,-1.565,1.727,-1.19,180.945,104.634,-126.159
141,-1.84,1.955,-1.052,130.213,94.085,-116.128
142,-2.228,2.007,-0.852,74.421,57.957,-108.079
143,-2.571,2.002,-0.601,25.701,5.61,-90.945
144,-2.725,2.036,-0.368,-10,-49.848,-57.378
145,-2.754,2.053,-0.131,-35.122,-93.171,-13.293
146,-2.726,1.979,0.096,-47.957,-115.61,35.305
147,-2.656,1.857,0.286,-48.262,-124.146,86.402
148,-2.535,1.688,0.382,-39.451,-124.085,133.659
149,-2.35,1.494,0.408,-27.073,-115.915,176.006
150,-2.157,1.318,0.357,-17.073,-106.25,216.982
151,-2.062,1.154,0.216,-11.951,-103.75,253.323
152,-2.005,0.957,0.076,-13.841,-111.28,280.915
153,-1.728,0.711,-0.05,-19.238,-124.604,299.97
154,-1.318,0.483,-0.139,-24.939,-140.03,307.53
155,-0.988,0.256,-0.223,-30.793,-156.341,303.262
156,-0.683,0.066,-0.271,-33.201,-173.384,289.848
157,-0.333,-0.064,-0.292,-31.616,-186.951,264.939
158,0.015,-0.151,-0.308,-31.189,-193.049,231.189
159,0.354,-0.222,-0.291,-31.128,-185.03,190.793
160,0.694,-0.364,-0.285,-33.902,-160.213,144.756
161,0.973,-0.581,-0.317,-38.567,-125.64,93.171
162,1.104,-0.781,-0.302,-39.421,-91.067,36.159
163,1.005,-0.901,-0.219,-36.402,-65.366,-25.64
164,0.793,-0.967,-0.084,-34.085,-51.189,-86.067
165,0.58,-0.962,-0.018,-32.348,-47.012,-139.36
166,0.373,-0.922,-0.032,-32.378,-50.244,-183.689
167,0.162,-0.904,-0.061,-26.707,-60.579,-217.256
168,-0.046,-0.888,-0.08,-11.067,-75.793,-241.707
169,-0.205,-0.833,-0.134,14.207,-86.707,-258.14
170,-0.281,-0.771,-0.136,40.793,-83.079,-270.244
171,-0.382,-0.72,-0.127,65.274,-64.207,-279.36
172,-0.561,-0.642,-0.161,86.738,-32.012,-282.744
173,-0.719,-0.555,-0.101,104.726,8.232,-285.976
174,-0.874,-0.495,-0.027,119.604,38.262,-294.573
175,-1.042,-0.401,-0.067,133.659,46.829,-301.25
176,-1.194,-0.244,-0.18,148.384,41.677,-303.354
177,-1.294,-0.092,-0.331,160.061,38.476,-303.445
178,-1.274,0.01,-0.433,167.896,47.012,-303.476
179,-1.279,0.105,-0.413,173.902,63.354,-303.506
180,-1.374,0.223,-0.303,173.354,88.689,-302.134
181,-1.481,0.402,-0.3,166.494,115.427,-301.494
182,-1.578,0.668,-0.368,159.573,129.207,-298.872
183,-1.602,0.98,-0.437,150.854,130.762,-287.957
184,-1.536,1.254,-0.44,139.146,129.604,-273.506
185,-1.417,1.387,-0.398,118.171,135.396,-262.409
186,-1.427,1.383,-0.384,90.976,143.963,-254.146
187,-1.625,1.364,-0.46,71.311,145.579,-238.872
188,-1.836,1.499,-0.565,65.396,130.396,-209.268
189,-1.898,1.752,-0.649,59.695,102.835,-175.732
190,-1.7,1.961,-0.712,46.28,79.116,-145.701
191,-1.394,2.027,-0.792,21.677,74.787,-118.78
192,-1.309,1.945,-0.834,-14.055,94.878,-98.415
193,-1.316,1.758,-0.846,-52.073,128.567,-81.159
194,-1.339,1.594,-0.904,-80.457,147.47,-58.994
195,-1.543,1.451,-0.969,-106.25,148.598,-36.89
196,-1.813,1.372,-0.99,-128.384,134.512,-18.476
197,-1.993,1.311,-0.962,-153.049,103.079,-5.427
198,-2.131,1.202,-0.944,-181.159,61.402,5.701
199,-2.292,1.09,-1.049,-204.39,21.189,20.976
200,-2.519,1.017,-1.262,-222.805,-9.726,43.72
201,-2.755,0.881,-1.42,-237.927,-23.933,72.896
202,-2.896,0.736,-1.561,-238.018,-20.366,116.189
203,-3.136,0.659,-1.621,-234.848,6.89,169.055
204,-3.623,0.615,-1.73,-245.793,46.951,217.927
205,-4.29,0.532,-1.81,-272.53,51.098,256.982
206,-4.745,0.292,-1.819,-305.396,0.793,299.024
207,-4.926,-0.035,-1.878,-332.835,-92.073,348.354
208,-4.831,-0.417,-1.806,-349.024,-177.134,399.543
209,-4.424,-0.821,-1.592,-348.506,-221.677,454.177
210,-3.873,-1.171,-1.281,-327.744,-216.616,510.671
211,-3.505,-1.417,-0.901,-297.165,-184.421,558.445
212,-3.008,-1.748,-0.519,-272.683,-154.604,581.585
213,-2.142,-2.146,-0.284,-236.982,-160.976,575.549
214,-0.914,-2.345,-0.732,-188.14,-183.506,540.335
215,0.418,-2.563,-1.31,-136.037,-173.11,477.591
216,1.676,-2.872,-1.019,-75.335,-74.451,380.945
217,1.768,-2.953,-0.031,-34.543,48.811,271.921
218,0.921,-3.119,0.44,-70.671,86.524,189.634
219,0.541,-3.469,0.25,-126.433,9.604,111.646
220,1.12,-3.487,0.14,-143.445,-77.165,8.78
221,1.859,-3.092,0.324,-118.415,-103.14,-89.146
222,1.845,-2.604,0.682,-78.354,-70.64,-150.64
223,1.317,-2.15,0.889,-36.799,-18.018,-203.476
224,0.711,-1.739,0.789,10.945,21.616,-252.957
225,0.047,-1.361,0.479,65.549,51.189,-278.293
226,-0.75,-0.979,0.112,120.457,70.915,-280.762
227,-1.553,-0.469,-0.194,170.213,79.268,-265.457
228,-2.123,0.218,-0.42,208.994,82.805,-240.396
229,-2.286,0.933,-0.595,228.689,84.878,-212.287
230,-2.162,1.534,-0.76,224.939,80.854,-175.457
231,-1.961,1.837,-0.843,193.78,72.043,-133.354
232,-1.849,1.922,-0.805,157.043,53.506,-104.756
233,-1.764,2.073,-0.747,130.762,28.933,-85.152
234,-1.676,2.355,-0.709,107.134,1.311,-67.439
235,-1.691,2.582,-0.523,74.848,-21.159,-53.537
236,-1.818,2.537,-0.296,34.421,-29.787,-41.555
237,-2.013,2.402,-0.166,3.902,-36.433,-17.5
238,-2.167,2.264,-0.057,-15.427,-46.951,18.567
239,-2.146,2.102,0.075,-25.884,-56.098,59.39
240,-1.969,1.937,0.198,-28.476,-62.012,100.122
241,-1.742,1.744,0.23,-30.793,-61.89,134.146
242,-1.556,1.474,0.211,-33.872,-60.061,160.701
243,-1.354,1.146,0.161,-33.384,-59.573,181.799
244,-1.112,0.874,0.087,-28.598,-60.793,198.293
245,-0.87,0.68,0.063,-23.018,-63.079,206.128
246,-0.577,0.503,0.02,-20.061,-68.262,201.22
247,-0.243,0.276,-0.078,-18.567,-79.665,181.402
248,0.079,0.044,-0.147,-17.134,-90.915,152.287
249,0.408,-0.163,-0.12,-18.537,-91.585,117.47
250,0.665,-0.394,-0.058,-24.116,-84.573,74.665
251,0.694,-0.623,0.02,-29.543,-82.47,24.848
252,0.563,-0.763,0.08,-29.299,-91.006,-27.043
253,0.441,-0.851,0.079,-28.049,-107.5,-77.988
254,0.329,-0.917,0.03,-27.5,-122.957,-123.506
255,0.203,-0.919,-0.009,-19.726,-129.787,-159.299
256,0.051,-0.838,-0.062,-2.195,-127.927,-183.933
257,-0.154,-0.7,-0.114,20,-117.287,-198.72
258,-0.38,-0.57,-0.111,40.305,-97.744,-209.055
259,-0.533,-0.483,-0.101,57.561,-75.793,-218.72
260,-0.643,-0.378,-0.13,74.939,-58.902,-224.787
261,-0.76,-0.264,-0.156,88.628,-43.811,-227.927
262,-0.906,-0.165,-0.127,98.476,-30.793,-230.762
263,-0.998,-0.065,-0.092,106.829,-22.713,-233.872
264,-1.061,0.052,-0.1,117.439,-22.5,-235.732
265,-1.157,0.191,-0.159,128.415,-24.299,-234.695
266,-1.208,0.347,-0.207,136.372,-22.378,-231.646
267,-1.278,0.477,-0.166,138.78,-20.244,-229.024
268,-1.404,0.543,-0.115,132.561,-16.89,-229.421
269,-1.502,0.606,-0.113,126.22,-15.671,-232.866
270,-1.48,0.749,-0.175,122.744,-14.97,-235.884
271,-1.385,0.964,-0.253,113.628,-11.159,-238.476
272,-1.327,1.127,-0.288,91.524,-6.616,-243.14
273,-1.333,1.166,-0.236,59.787,-4.787,-250.915
274,-1.381,1.128,-0.074,22.835,-7.165,-259.573
275,-1.408,1.057,0.064,-15.915,-14.39,-266.372
