line,x-axis (g),y-axis (g),z-axis (g),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1630,0.458,-0.135,-0.136,-51.22,-151.402,113.75
1631,0.648,-0.302,-0.034,-50.274,-138.14,65.03
1632,0.706,-0.496,0.073,-48.506,-133.659,14.024
1633,0.625,-0.686,0.13,-45.183,-138.933,-37.409
1634,0.561,-0.822,0.116,-38.232,-151.067,-88.72
1635,0.573,-0.869,0.121,-25.518,-162.591,-135.396
1636,0.529,-0.839,0.117,-10.61,-163.72,-173.841
1637,0.33,-0.802,0.126,0.976,-153.628,-205.64
1638,0.099,-0.774,0.104,12.561,-137.591,-236.037
1639,-0.108,-0.757,0.046,23.811,-123.537,-262.165
1640,-0.294,-0.722,-0.054,34.848,-110.274,-281.86
1641,-0.434,-0.652,-0.152,48.201,-99.756,-294.726
1642,-0.524,-0.549,-0.221,63.567,-92.591,-299.543
1643,-0.646,-0.406,-0.27,78.78,-83.262,-299.177
1644,-0.731,-0.245,-0.315,89.512,-66.341,-299.421
1645,-0.746,-0.13,-0.284,95.152,-47.988,-305
1646,-0.778,-0.065,-0.22,97.348,-32.134,-314.665
1647,-0.829,-0.01,-0.23,98.598,-21.616,-327.591
1648,-0.848,0.041,-0.343,98.323,-24.665,-346.494
1649,-0.804,0.126,-0.445,102.988,-34.329,-367.317
1650,-0.72,0.408,-0.677,115.213,-19.604,-381.921
1651,-0.706,0.774,-0.876,110.396,45.518,-391.829
1652,-0.801,1.024,-0.88,79.329,158.811,-397.683
1653,-1.137,0.97,-0.673,29.817,259.268,-398.811
1654,-1.762,0.698,-0.485,-17.561,277.805,-395.366
1655,-2.256,0.555,-0.361,-45.518,204.116,-379.939
1656,-2.269,0.695,-0.377,-52.134,79.512,-359.543
1657,-1.816,1.016,-0.407,-55.061,-17.226,-341.159
1658,-1.355,1.271,-0.373,-74.634,-21.433,-322.683
1659,-1.24,1.342,-0.26,-106.768,63.415,-299.39
1660,-1.43,1.419,-0.24,-122.287,167.805,-265.823
1661,-1.953,1.66,-0.359,-123.232,225.366,-224.146
1662,-2.395,1.949,-0.591,-124.36,225.366,-178.506
1663,-2.576,2.152,-0.715,-131.494,169.512,-130.762
1664,-2.565,2.214,-0.764,-151.921,101.311,-82.744
1665,-2.436,2.194,-0.816,-177.53,57.988,-34.36
1666,-2.327,2.135,-0.856,-201.616,46.159,19.451
1667,-2.417,1.928,-0.943,-226.433,62.774,72.195
1668,-2.632,1.623,-1.1,-249.665,85.976,120.671
1669,-2.963,1.35,-1.227,-270.213,85.64,165.152
1670,-3.182,1.076,-1.294,-286.799,59.634,207.378
1671,-3.16,0.866,-1.309,-292.287,12.53,249.817
1672,-3.019,0.649,-1.302,-294.482,-21.646,286.646
1673,-3.074,0.412,-1.373,-295.366,-25.701,314.726
1674,-3.473,0.178,-1.442,-292.073,-10.427,338.171
1675,-4.037,-0.075,-1.423,-286.341,10.488,358.872
1676,-4.651,-0.343,-1.515,-280.488,19.085,379.36
1677,-5.194,-0.578,-1.629,-271.616,4.848,405.457
1678,-5.297,-0.839,-1.516,-260.488,-24.787,434.177
1679,-5.008,-1.206,-1.393,-245.915,-57.744,462.409
1680,-4.602,-1.567,-1.255,-223.811,-71.555,490.884
1681,-3.883,-1.905,-1.051,-187.988,-55.61,514.421
1682,-2.954,-2.107,-1.041,-145.366,-12.561,524.634
1683,-1.966,-2.086,-1.135,-109.268,55.64,512.134
1684,-0.97,-2.036,-1.175,-85.762,127.378,473.415
1685,-0.13,-1.968,-0.94,-97.652,172.012,408.902
1686,0.535,-1.911,-0.625,-142.348,159.116,318.78
1687,0.952,-2.134,-0.402,-204.604,87.591,230.61
1688,1.51,-2.712,-0.002,-254.268,14.085,142.561
1689,2.007,-3.227,0.532,-255.03,-63.018,48.598
1690,2.068,-3.316,1.208,-218.811,-119.39,-24.024
1691,1.97,-3.19,1.766,-156.159,-127.439,-97.043
1692,1.678,-3.011,1.97,-77.348,-94.787,-166.799
1693,1.042,-2.779,1.687,7.195,-31.677,-210.366
1694,0.13,-2.449,1.258,93.171,28.933,-219.604
1695,-0.926,-1.9,0.855,160.854,53.293,-208.171
1696,-1.772,-1.299,0.391,196.677,34.543,-195.518
1697,-2.073,-0.735,-0.201,213.567,-6.433,-188.293
1698,-1.932,-0.168,-0.735,220.793,-32.073,-184.756
1699,-1.696,0.342,-1.077,217.195,-23.171,-180.091
1700,-1.71,0.811,-1.336,210.823,-8.994,-163.232
1701,-1.865,1.336,-1.453,203.689,-9.055,-129.726
1702,-1.954,1.88,-1.44,185.274,-27.043,-96.524
1703,-1.843,2.291,-1.342,152.835,-44.207,-73.14
1704,-1.678,2.624,-1.276,116.646,-53.933,-52.53
1705,-1.696,2.864,-1.176,79.604,-55.701,-28.659
1706,-1.78,2.964,-1.035,43.78,-48.11,-2.47
1707,-1.872,2.909,-0.798,9.97,-42.835,26.25
1708,-2.054,2.702,-0.5,-21.22,-47.256,58.384
1709,-2.207,2.429,-0.234,-46.585,-67.5,93.902
1710,-2.186,2.089,0.02,-64.848,-106.25,128.72
1711,-1.949,1.679,0.169,-74.573,-146.006,161.89
1712,-1.698,1.278,0.229,-74.329,-173.201,188.933
1713,-1.375,0.88,0.33,-66.098,-179.512,206.402
1714,-0.91,0.503,0.345,-49.726,-174.421,214.482
1715,-0.496,0.227,0.283,-28.384,-163.872,209.726
1716,-0.116,0.05,0.222,-7.409,-146.067,190.152
1717,0.293,-0.123,0.121,8.628,-129.146,154.726
1718,0.593,-0.305,0.059,16.555,-113.872,110.122
1719,0.667,-0.43,0.05,18.537,-97.012,61.707
1720,0.497,-0.51,0.054,12.5,-97.043,8.72
1721,0.221,-0.604,0.038,-2.012,-125.884,-45.854
1722,0.019,-0.655,-0.064,-16.28,-174.39,-98.811
1723,-0.038,-0.636,-0.114,-24.939,-217.622,-147.439
1724,-0.049,-0.584,-0.088,-26.159,-232.957,-187.226
1725,-0.204,-0.525,-0.071,-17.683,-220.793,-216.402
1726,-0.441,-0.486,-0.054,-2.652,-193.384,-235.915
1727,-0.633,-0.479,-0.038,16.982,-167.043,-247.957
1728,-0.824,-0.448,-0.035,38.811,-147.683,-253.201
1729,-0.984,-0.367,-0.058,57.866,-134.36,-253.628
1730,-1.039,-0.255,-0.073,73.506,-127.988,-252.988
1731,-0.959,-0.105,-0.156,89.695,-121.463,-252.378
1732,-0.821,0.086,-0.256,106.159,-110.183,-251.159
1733,-0.728,0.24,-0.349,117.439,-92.927,-250
1734,-0.694,0.307,-0.422,123.171,-73.262,-250.366
1735,-0.668,0.311,-0.477,124.055,-54.939,-251.616
1736,-0.629,0.309,-0.481,121.982,-36.707,-251.677
1737,-0.615,0.367,-0.471,116.677,-17.683,-250.884
1738,-0.626,0.445,-0.478,107.561,-0.061,-252.927
1739,-0.627,0.534,-0.531,100.579,11.067,-257.805
1740,-0.559,0.668,-0.643,98.841,17.683,-261.89
1741,-0.497,0.836,-0.75,96.463,23.628,-265.335
1742,-0.445,0.941,-0.775,89.512,39.726,-270.274
1743,-0.342,1.009,-0.741,77.866,69.055,-271.677
1744,-0.349,1.055,-0.672,60.213,110.183,-268.262
1745,-0.573,1.164,-0.656,43.171,156.22,-259.604
1746,-0.814,1.374,-0.725,29.085,188.78,-247.012
1747,-0.957,1.693,-0.829,18.232,197.988,-229.604
1748,-1.06,1.998,-0.894,2.988,196.494,-211.524
1749,-1.106,2.183,-0.946,-18.14,195.488,-195.64
1750,-1.192,2.264,-1.031,-41.768,202.622,-175.213
1751,-1.349,2.31,-1.148,-65.396,226.22,-143.14
1752,-1.679,2.458,-1.329,-88.933,251.433,-106.006
1753,-2.126,2.596,-1.527,-122.805,272.317,-77.5
1754,-2.514,2.57,-1.823,-167.409,276.25,-52.957
1755,-3.204,2.449,-2.09,-216.25,239.573,-20.03
1756,-4.083,2.251,-2.201,-270.549,172.713,19.97
1757,-4.552,1.928,-2.093,-327.774,93.902,75.274
1758,-4.592,1.54,-1.909,-376.341,33.841,143.994
1759,-4.586,1.184,-1.771,-408.171,15.823,213.262
1760,-4.665,0.775,-1.616,-425.945,27.744,280.366
1761,-4.788,0.379,-1.521,-420.305,33.902,348.293
1762,-4.844,0.048,-1.303,-399.634,19.726,409.238
1763,-4.609,-0.344,-1.025,-376.159,-15.274,456.341
1764,-4.128,-0.742,-0.774,-346.707,-60.183,487.226
1765,-3.464,-1.18,-0.492,-312.652,-82.835,502.378
1766,-2.668,-1.554,-0.249,-263.506,-72.195,503.994
1767,-1.792,-1.739,-0.234,-203.628,-28.75,485.518
1768,-1.14,-1.941,-0.476,-152.927,35.701,445.732
1769,-0.798,-2.194,-0.747,-101.128,90.793,382.866
1770,-0.586,-2.296,-0.728,-54.665,94.817,306.372
1771,-0.118,-2.363,-0.517,-51.951,59.39,228.902
1772,0.473,-2.469,-0.373,-88.171,28.11,146.799
1773,0.681,-2.609,-0.25,-137.104,19.055,70.976
1774,0.735,-2.85,-0.075,-169.177,7.957,0.518
1775,0.703,-3.022,0.036,-170.884,-25.671,-69.238
1776,0.555,-2.926,0.254,-136.616,-61.921,-133.262
1777,0.339,-2.68,0.601,-82.226,-83.841,-182.683
1778,0.1,-2.374,0.746,-23.872,-76.768,-213.262
1779,-0.188,-1.985,0.541,34.512,-37.195,-222.439
1780,-0.56,-1.49,0.124,94.329,21.921,-213.72
1781,-1.005,-0.919,-0.371,145.152,78.72,-197.134
1782,-1.521,-0.315,-0.758,177.439,104.604,-182.348
1783,-1.977,0.322,-0.964,192.927,83.78,-167.896
1784,-2.154,0.993,-1.069,191.89,33.933,-150.335
1785,-2.051,1.654,-1.048,174.909,-10.579,-128.628
1786,-1.89,2.145,-0.871,137.866,-25.122,-99.634
1787,-1.939,2.287,-0.598,88.598,-25.305,-74.116
1788,-2.123,2.278,-0.399,56.402,-36.616,-51.189
1789,-2.179,2.417,-0.314,46.402,-58.049,-16.28
1790,-2.14,2.523,-0.168,36.037,-74.207,22.47
1791,-2.135,2.431,-0.069,25.61,-82.134,58.689
1792,-2.172,2.283,-0.025,19.177,-90.457,97.591
1793,-2.046,2.129,-0.03,12.957,-104.39,136.067
1794,-1.805,1.938,-0.147,5.64,-123.811,166.829
1795,-1.598,1.727,-0.284,-3.963,-140.579,189.146
1796,-1.412,1.513,-0.399,-13.354,-156.28,205.183
1797,-1.169,1.247,-0.443,-25.061,-169.817,214.878
1798,-0.892,0.939,-0.457,-35.518,-179.268,218.049
1799,-0.632,0.664,-0.419,-42.927,-183.811,213.415
1800,-0.385,0.456,-0.332,-46.951,-184.634,199.482
1801,-0.153,0.279,-0.272,-48.171,-185.579,175.152
1802,0.049,0.146,-0.214,-45.884,-185.854,146.433
1803,0.274,0.049,-0.154,-40.152,-179.97,116.494
1804,0.51,-0.099,-0.12,-36.494,-167.774,80.335
1805,0.631,-0.284,-0.031,-34.085,-151.372,38.079
1806,0.628,-0.4,0.091,-25.213,-137.713,-6.006
1807,0.489,-0.449,0.164,-13.14,-138.811,-47.866
1808,0.344,-0.473,0.193,-3.476,-143.354,-84.695
1809,0.237,-0.472,0.201,4.817,-144.939,-119.024
1810,0.093,-0.442,0.133,12.47,-145.244,-149.665
1811,-0.067,-0.427,0.038,20.122,-143.567,-175.244
1812,-0.247,-0.44,0.01,31.707,-142.439,-196.677
1813,-0.423,-0.448,0.027,46.799,-141.951,-211.159
1814,-0.579,-0.403,0.034,63.445,-142.805,-218.75
1815,-0.702,-0.32,0.015,79.329,-143.659,-222.409
1816,-0.751,-0.222,-0.032,93.598,-139.573,-224.665
1817,-0.74,-0.122,-0.095,105.945,-129.39,-227.348
1818,-0.712,-0.027,-0.164,115.671,-110.091,-230.64
1819,-0.675,0.05,-0.256,120.701,-84.268,-236.402
1820,-0.678,0.103,-0.341,123.262,-63.323,-244.39
1821,-0.684,0.192,-0.404,127.5,-48.14,-251.159
1822,-0.702,0.303,-0.514,129.299,-43.628,-257.317
1823,-0.756,0.381,-0.612,127.226,-45.61,-262.927
1824,-0.797,0.494,-0.706,125,-43.232,-269.116
1825,-0.783,0.604,-0.786,115.945,-29.512,-279.634
1826,-0.711,0.665,-0.82,102.165,-2.134,-293.354
1827,-0.66,0.72,-0.861,87.866,34.268,-305
1828,-0.767,0.767,-0.862,71.22,69.36,-312.591
1829,-0.976,0.83,-0.833,53.811,96.098,-315.152
1830,-1.126,0.9,-0.864,37.927,108.384,-313.079
1831,-1.091,1.058,-0.946,26.037,117.591,-305.366
1832,-0.969,1.227,-0.933,6.524,141.128,-296.159
1833,-0.855,1.305,-0.929,-17.896,179.665,-288.902
1834,-0.849,1.371,-0.83,-37.957,214.756,-279.116
1835,-1.049,1.443,-0.708,-55.274,235.61,-265.823
1836,-1.249,1.568,-0.708,-71.22,239.421,-250.945
1837,-1.316,1.706,-0.616,-94.573,226.189,-236.159
1838,-1.335,1.757,-0.41,-126.159,202.195,-223.415
1839,-1.452,1.809,-0.315,-154.665,168.841,-206.006
1840,-1.57,1.833,-0.29,-182.134,131.951,-183.293
1841,-1.64,1.764,-0.256,-201.098,98.72,-155.884
1842,-1.732,1.665,-0.235,-213.506,82.256,-123.598
1843,-1.919,1.54,-0.269,-229.329,73.811,-90.976
1844,-2.238,1.425,-0.352,-239.634,47.53,-56.311
1845,-2.44,1.288,-0.5,-242.896,10.915,-17.5
1846,-2.452,1.211,-0.735,-238.201,-15.122,23.537
1847,-2.462,1.122,-0.92,-230.183,-10.03,65.396
1848,-2.744,0.993,-0.98,-220.427,7.713,109.36
1849,-3.244,0.879,-1.067,-215.762,12.744,152.256
1850,-3.708,0.745,-1.193,-219.756,-16.006,190.335
1851,-3.877,0.487,-1.371,-225.03,-63.78,224.024
1852,-3.91,0.249,-1.634,-220.884,-96.433,252.317
1853,-3.885,0.066,-1.882,-206.25,-92.53,279.939
1854,-4.151,-0.042,-1.981,-184.451,-67.652,315.213
1855,-4.535,-0.191,-1.868,-171.921,-34.512,359.878
1856,-4.673,-0.419,-1.902,-168.537,-25.945,413.659
1857,-4.628,-0.629,-1.958,-178.018,-41.189,459.787
1858,-4.202,-1.032,-1.813,-191.738,-64.085,483.872
1859,-3.312,-1.463,-1.789,-186.494,-69.39,493.689
1860,-2.024,-1.757,-1.492,-168.537,-25.549,489.787
1861,-1.071,-1.92,-1.287,-150.854,47.988,459.329
1862,-0.825,-1.821,-0.947,-147.043,116.494,401.982
1863,-0.845,-1.639,-0.545,-158.902,117.378,345.091
1864,-0.544,-1.804,-0.274,-190.549,39.329,299.604
1865,0.208,-2.323,0.181,-220.183,-47.652,237.774
1866,1.056,-2.914,0.545,-230.488,-108.354,168.323
1867,1.783,-3.335,0.847,-215,-114.329,109.36
1868,2.093,-3.485,1.3,-173.323,-54.329,41.189
1869,1.631,-3.339,1.523,-118.11,9.665,-34.512
1870,0.78,-3.042,1.391,-53.963,10.945,-97.226
1871,0.129,-2.661,1.035,15.793,-38.476,-144.512
1872,-0.26,-2.162,0.674,72.378,-69.177,-174.97
1873,-0.784,-1.634,0.254,102.957,-58.72,-184.329
1874,-1.321,-1.101,-0.162,118.598,-27.622,-177.012
1875,-1.596,-0.604,-0.435,127.165,-2.683,-168.476
1876,-1.701,-0.147,-0.654,133.994,1.555,-159.146
1877,-1.745,0.312,-0.861,140.793,-9.512,-146.402
1878,-1.751,0.752,-0.972,144.665,-27.866,-131.25
1879,-1.743,1.148,-0.919,141.006,-47.012,-110.854
1880,-1.749,1.496,-0.779,129.238,-61.616,-90.213
1881,-1.729,1.79,-0.661,111.585,-65.671,-69.97
1882,-1.694,2.024,-0.65,96.951,-62.256,-46.128
1883,-1.625,2.244,-0.674,89.817,-51.006,-20.518
1884,-1.628,2.371,-0.656,79.055,-35.701,0.945
1885,-1.81,2.36,-0.543,59.726,-27.226,22.226
1886,-2.077,2.251,-0.384,39.055,-40.762,50.762
1887,-2.206,2.128,-0.228,21.341,-74.512,83.933
1888,-2.075,1.966,-0.131,8.506,-112.378,118.384
1889,-1.863,1.742,-0.115,2.896,-138.811,149.573
1890,-1.56,1.507,-0.037,3.537,-148.476,177.744
1891,-1.136,1.274,-0.012,8.018,-152.652,197.896
1892,-0.769,1.005,-0.03,10.244,-153.933,201.402
1893,-0.414,0.764,-0.045,14.299,-153.537,191.799
1894,0.006,0.561,-0.12,17.805,-155.884,171.799
1895,0.359,0.386,-0.145,17.744,-156.372,142.805
1896,0.586,0.307,-0.121,17.988,-148.567,108.567
1897,0.653,0.269,-0.068,14.024,-142.896,69.512
1898,0.602,0.188,0.004,1.189,-143.628,26.006
1899,0.502,0.059,0.036,-14.817,-156.616,-18.994
1900,0.408,-0.06,0.005,-25.488,-182.287,-65.183
1901,0.343,-0.172,-0.033,-33.079,-206.494,-110.396
1902,0.327,-0.275,-0.059,-35.183,-214.116,-151.768
1903,0.31,-0.372,-0.087,-30.762,-202.348,-187.317
1904,0.223,-0.476,-0.114,-22.104,-175.122,-212.744
1905,0.074,-0.522,-0.168,-7.622,-138.598,-228.628
1906,-0.142,-0.48,-0.21,7.988,-101.22,-239.39
1907,-0.401,-0.429,-0.262,17.805,-71.738,-248.598
1908,-0.6,-0.408,-0.294,27.866,-60.366,-255.152
1909,-0.691,-0.38,-0.312,41.982,-65.305,-257.866
1910,-0.692,-0.291,-0.343,57.104,-70.213,-258.171
1911,-0.589,-0.15,-0.366,72.591,-63.262,-258.659
1912,-0.491,0.012,-0.391,88.445,-44.421,-259.146
1913,-0.433,0.156,-0.374,96.86,-7.957,-259.024
1914,-0.419,0.206,-0.324,97.439,33.079,-263.293
1915,-0.573,0.205,-0.311,99.299,58.049,-268.872
1916,-0.777,0.257,-0.319,105.274,65.671,-272.896
1917,-0.819,0.389,-0.388,114.207,61.707,-279.695
1918,-0.707,0.56,-0.506,124.421,58.659,-287.805
1919,-0.625,0.782,-0.547,128.72,74.36,-291.738
1920,-0.69,0.982,-0.562,118.811,108.933,-294.39
1921,-0.859,1.153,-0.584,102.652,146.098,-294.543
1922,-1.08,1.344,-0.468,81.22,171.402,-285.274
1923,-1.277,1.521,-0.386,55.335,175.305,-269.36
1924,-1.377,1.736,-0.396,30.305,159.573,-250.457
1925,-1.432,1.996,-0.382,0.488,142.012,-234.116
1926,-1.467,2.179,-0.304,-37.226,130.762,-226.25
1927,-1.508,2.122,-0.277,-80.671,115.091,-221.738
1928,-1.639,1.877,-0.349,-117.287,90.366,-208.476
1929,-1.666,1.704,-0.448,-132.774,61.921,-179.451
1930,-1.477,1.661,-0.546,-135.152,49.024,-146.098
1931,-1.184,1.606,-0.638,-137.683,80.762,-122.683
1932,-1.013,1.515,-0.73,-140.274,149.634,-107.866
1933,-1.203,1.463,-0.775,-146.098,208.841,-95.366
1934,-1.754,1.403,-0.836,-160.396,207.927,-86.189
1935,-2.255,1.301,-1.027,-182.378,134.634,-74.39
1936,-2.534,1.151,-1.258,-211.524,19.604,-55.884
1937,-2.601,1.014,-1.487,-229.39,-80.915,-31.951
1938,-2.368,0.906,-1.56,-233.415,-104.756,1.098
1939,-2.243,0.843,-1.656,-235.366,-34.024,44.238
1940,-3.028,0.784,-1.948,-248.72,76.829,85.976
1941,-4.851,0.644,-2.125,-276.524,115.579,132.5
1942,-6.491,0.339,-2.25,-307.622,31.921,204.512
1943,-6.753,-0.214,-2.407,-339.085,-115.945,293.994
1944,-5.747,-0.747,-2.244,-338.811,-226.616,378.354
1945,-4.585,-1.087,-1.886,-311.951,-229.116,464.085
1946,-3.975,-1.45,-1.587,-277.165,-150.945,540.122
1947,-3.775,-1.736,-1.341,-236.159,-51.28,588.232
1948,-3.788,-1.919,-1.082,-201.921,18.506,613.811
1949,-3.632,-2.196,-0.976,-186.86,33.994,628.476
1950,-3.118,-2.491,-1.083,-179.36,2.774,616.707
1951,-1.862,-2.712,-0.876,-165.122,-22.896,570.671
1952,-0.229,-2.826,-0.761,-147.012,-20.091,493.628
1953,0.953,-2.728,-0.537,-130.488,16.982,402.53
1954,1.694,-2.788,0.069,-127.104,80.305,309.634
1955,1.834,-3.157,0.528,-142.774,97.256,217.287
1956,1.585,-3.417,0.896,-153.963,44.116,124.451
1957,1.55,-3.48,1.143,-152.287,-58.689,15.183
1958,1.744,-3.331,1.282,-133.872,-152.195,-93.567
1959,1.713,-3.052,1.439,-97.53,-174.055,-179.756
1960,1.15,-2.802,1.383,-50.518,-119.756,-239.756
1961,0.136,-2.545,1.098,14.756,-43.78,-269.055
1962,-0.994,-2.143,0.762,92.988,4.482,-263.902
1963,-1.873,-1.569,0.379,158.78,21.494,-246.128
1964,-2.406,-0.939,-0.203,197.622,11.189,-232.317
1965,-2.521,-0.356,-0.783,220.64,-15.122,-215.976
1966,-2.181,0.156,-1.211,233.323,-27.896,-192.988
1967,-1.736,0.633,-1.443,231.89,-10.854,-164.36
1968,-1.549,1.13,-1.499,216.677,17.957,-129.939
1969,-1.575,1.507,-1.366,184.055,25.854,-102.47
1970,-1.607,1.692,-1.128,143.628,-5.671,-91.311
1971,-1.59,1.796,-0.922,107.348,-59.695,-87.744
1972,-1.519,1.924,-0.75,78.049,-103.537,-81.646
1973,-1.378,2.028,-0.601,55.793,-118.628,-70.793
1974,-1.302,2.045,-0.467,40.03,-103.354,-58.11
1975,-1.47,2.078,-0.289,31.341,-73.72,-43.171
1976,-1.789,2.133,-0.12,27.47,-58.628,-22.713
1977,-2.008,2.127,-0.077,29.329,-66.799,5.884
1978,-2.117,2.104,-0.176,32.744,-82.561,44.482
1979,-2.154,1.989,-0.274,29.543,-91.28,83.384
1980,-2.06,1.808,-0.316,25.793,-94.085,120.091
1981,-1.848,1.683,-0.349,22.622,-95.274,154.878
1982,-1.653,1.499,-0.327,11.037,-92.409,179.97
1983,-1.571,1.266,-0.292,-3.567,-94.726,196.28
1984,-1.517,1.008,-0.243,-17.927,-108.354,205.762
1985,-1.234,0.706,-0.137,-28.354,-128.018,211.585
1986,-0.791,0.436,-0.086,-26.921,-147.927,215.549
1987,-0.476,0.25,-0.054,-21.128,-154.634,213.14
1988,-0.207,0.127,-0.047,-15.976,-146.402,197.927
1989,0.12,0.01,-0.042,-11.189,-135.213,167.378
1990,0.393,-0.1,0.02,-9.512,-121.738,128.384
1991,0.516,-0.167,0.101,-8.415,-104.36,85
1992,0.547,-0.252,0.172,-8.628,-94.756,37.744
1993,0.553,-0.394,0.225,-9.97,-100.732,-10.244
1994,0.536,-0.51,0.213,-8.445,-118.293,-57.012
1995,0.424,-0.579,0.178,-6.22,-142.378,-101.098
1996,0.327,-0.612,0.145,-2.561,-161.463,-141.037
1997,0.247,-0.628,0.118,2.287,-176.22,-178.384
1998,0.166,-0.62,0.079,7.591,-179.207,-211.159
1999,0.131,-0.562,-0.005,13.354,-162.835,-238.201
2000,0.059,-0.525,-0.137,18.567,-135.61,-260.854
2001,-0.128,-0.536,-0.245,23.75,-103.049,-276.463
2002,-0.34,-0.528,-0.332,31.433,-73.659,-286.402
2003,-0.488,-0.441,-0.41,42.957,-59.97,-293.323
2004,-0.521,-0.289,-0.447,56.616,-55.305,-297.378
2005,-0.447,-0.1,-0.437,69.207,-43.811,-299.207
2006,-0.391,0.08,-0.433,78.72,-19.085,-301.25
2007,-0.353,0.214,-0.476,84.024,22.439,-305.03
2008,-0.408,0.317,-0.555,87.195,65.671,-309.97
2009,-0.628,0.393,-0.606,89.024,98.201,-311.646
2010,-0.852,0.455,-0.665,90.915,110.335,-310.762
2011,-1.008,0.589,-0.73,96.616,98.049,-306.86
2012,-1.002,0.822,-0.791,97.5,88.811,-302.226
2013,-0.87,1.1,-0.806,87.378,104.329,-301.921
2014,-0.788,1.374,-0.733,64.146,149.695,-298.628
2015,-0.934,1.454,-0.632,25.854,201.25,-290.915
2016,-1.562,1.311,-0.543,-13.049,215.701,-280
2017,-2.247,1.231,-0.455,-41.037,184.695,-258.476
2018,-2.484,1.333,-0.377,-59.116,117.47,-226.768
2019,-2.344,1.458,-0.318,-79.268,56.098,-193.293
2020,-2.013,1.441,-0.251,-102.409,45.03,-160.64
2021,-1.734,1.317,-0.255,-116.585,74.482,-122.835
2022,-1.677,1.282,-0.279,-113.933,119.756,-78.659
2023,-1.675,1.365,-0.304,-102.378,159.421,-39.909
2024,-1.583,1.501,-0.329,-98.293,179.146,-13.415
2025,-1.593,1.589,-0.33,-108.72,174.604,2.378
2026,-1.626,1.575,-0.36,-128.323,148.201,11.646
2027,-1.53,1.556,-0.452,-149.573,109.238,21.128
2028,-1.508,1.624,-0.596,-170.945,78.72,29.177
2029,-1.683,1.59,-0.785,-192.561,73.72,31.982
2030,-2.044,1.473,-1.029,-207.591,88.049,39.878
2031,-2.767,1.441,-1.197,-221.646,92.622,58.049
2032,-3.645,1.423,-1.351,-241.921,69.695,87.317
2033,-4.366,1.359,-1.596,-269.421,10.823,128.659
2034,-4.834,1.179,-1.811,-295.945,-62.012,180.64
2035,-4.941,0.846,-1.915,-314.055,-101.098,242.957
2036,-4.638,0.455,-1.809,-316.402,-89.604,318.445
2037,-4.401,0.219,-1.604,-300.732,-49.787,396.433
2038,-4.307,-0.01,-1.536,-292.561,-6.098,456.067
2039,-4.312,-0.363,-1.541,-295.183,1.159,492.348
2040,-4.277,-0.806,-1.374,-297.47,-29.97,512.378
2041,-3.923,-1.303,-1.147,-287.591,-83.902,526.463
2042,-2.918,-1.886,-0.988,-258.567,-125.091,529.634
2043,-1.671,-2.389,-0.987,-210.64,-122.47,512.835
2044,-0.69,-2.563,-1.003,-155.823,-57.226,471.25
2045,0.041,-2.461,-0.81,-103.811,55.122,408.659
2046,0.316,-2.259,-0.62,-83.079,136.707,340.854
2047,0.398,-2.2,-0.508,-98.14,144.085,266.799
2048,0.691,-2.347,-0.277,-129.36,82.348,171.006
2049,1.127,-2.625,-0.068,-162.774,-17.866,66.585
2050,1.408,-2.902,0.245,-183.841,-114.329,-16.829
2051,1.501,-3.082,0.721,-189.97,-161.189,-93.11
2052,1.371,-3.095,1.247,-175.945,-165.762,-170.823
2053,1.075,-2.911,1.682,-139.451,-150.061,-236.494
2054,0.664,-2.647,1.688,-79.055,-123.598,-283.902
2055,0.22,-2.378,1.347,7.805,-85.457,-304.634
2056,-0.329,-2.016,0.988,106.433,-30.122,-301.524
2057,-1.022,-1.556,0.591,187.104,25.762,-288.72
2058,-1.672,-1.118,0.113,234.573,59.665,-271.006
2059,-2.08,-0.737,-0.342,258.171,56.829,-248.537
2060,-2.209,-0.319,-0.821,272.652,18.841,-223.567
2061,-2.066,0.108,-1.257,276.829,-19.024,-205.061
2062,-1.792,0.45,-1.476,267.957,-30.61,-196.006
2063,-1.66,0.7,-1.481,248.506,-21.951,-184.634
2064,-1.747,0.836,-1.409,216.494,-9.116,-172.5
2065,-1.926,0.806,-1.182,174.939,-9.848,-164.299
2066,-2.032,0.701,-0.941,137.073,-36.738,-158.537
2067,-2.03,0.696,-0.768,111.89,-87.5,-156.28
2068,-1.865,0.711,-0.646,97.317,-133.963,-158.201
2069,-1.584,0.694,-0.58,92.226,-154.634,-161.707
2070,-1.328,0.645,-0.477,91.951,-139.817,-166.098
2071,-1.237,0.572,-0.425,92.134,-101.921,-171.738
2072,-1.377,0.491,-0.388,92.866,-62.47,-176.159
2073,-1.567,0.418,-0.377,95.61,-38.811,-176.982
2074,-1.686,0.406,-0.437,99.238,-36.189,-177.713
2075,-1.688,0.429,-0.465,99.634,-41.372,-180.244
2076,-1.618,0.459,-0.457,97.47,-49.451,-181.829
2077,-1.529,0.482,-0.457,93.841,-57.866,-181.616
2078,-1.402,0.479,-0.443,91.128,-65.213,-180.366
2079,-1.23,0.476,-0.345,92.927,-68.811,-176.982
2080,-1.135,0.502,-0.201,97.561,-65.976,-170.335
2081,-1.099,0.51,-0.173,104.665,-55.793,-166.067
2082,-0.999,0.515,-0.163,115.884,-39.36,-163.018
